id,title,category,sub_category,provider,mode,level,status,relevance,topics,tools,notes,url,last_checked
imperial-statistical-analysis-r-public-health,Statistical Analysis with R for Public Health,Epidemiological statistics and regression,Public health regression,Imperial College London / Coursera,online,beginner,self-paced,core,R; linear regression; logistic regression; survival analysis; public health data,R,Good first course for learning regression in public health and epidemiology.,https://www.coursera.org/specializations/statistical-analysis-r-public-health,2026-07-03
jhu-biostatistics-public-health,Biostatistics in Public Health,Epidemiological statistics and regression,Biostatistics,Johns Hopkins University / Coursera,online,beginner,self-paced,recommended,biostatistics; inference; regression; public health,,Useful foundation for reading and conducting epidemiological analyses.,https://www.coursera.org/specializations/biostatistics-public-health,2026-07-03
jhu-multiple-regression-public-health,Multiple Regression Analysis in Public Health,Epidemiological statistics and regression,Regression,Johns Hopkins University / Coursera,online,intermediate,self-paced,recommended,multiple linear regression; logistic regression; Cox regression; splines; adjustment,,Good follow-up course after basic regression.,https://www.coursera.org/learn/multiple-regression-analysis-public-health,2026-07-03
nahhas-regression-public-health-r,Introduction to Regression Methods for Public Health Using R,Epidemiological statistics and regression,Online textbook,Ryan Nahhas / bookdown,self-study,beginner,self-paced,core,linear regression; logistic regression; Cox regression; R; public health datasets,R,Free online textbook; useful as a companion to public-health regression courses.,https://bookdown.org/rwnahhas/RMPH/,2026-07-03
wur-advanced-analytical-epidemiology,Advanced Analytical Epidemiology,Epidemiological statistics and regression,Analytical epidemiology,Wageningen University & Research,online,intermediate,recurring,recommended,logistic regression; Cox models; mixed models; confounding; effect modification,R,Formal online course in the Netherlands; requires some R and epidemiological background.,https://www.wur.nl/en/education/for-professionals/programmes-and-courses/advanced-analytical-epidemiology,2026-07-03
edinburgh-statistical-modelling-epidemiology,Statistical Modelling for Epidemiology,Epidemiological statistics and regression,Statistical modelling,University of Edinburgh,online,intermediate,unknown,recommended,linear regression; logistic regression; survival analysis; diagnostics; model building,,MSc module; availability for external single-course enrolment should be checked.,https://www.drps.ed.ac.uk/26-27/dpt/cxpuhr11064.htm,2026-07-03
lshtm-epi-medical-statistics,Introductory Course in Epidemiology & Medical Statistics,Epidemiological statistics and regression,Epidemiology and medical statistics,LSHTM,hybrid,beginner,recurring,recommended,epidemiology; medical statistics; regression; confounding; study design,,Broad foundation course in epidemiology and medical statistics.,https://www.lshtm.ac.uk/study/courses/short-courses/epidemiology-statistics,2026-07-03
spe-r,Statistical Practice in Epidemiology using R,Epidemiological statistics and regression,Epidemiological statistics in R,Bendix Carstensen,in-person,intermediate,recurring,specialized,logistic regression; Poisson regression; survival analysis; multistate models; causal inference,R,Strong option for classical epidemiological statistics and follow-up data analysis.,https://bendixcarstensen.com/SPE/,2026-07-03
statistical-rethinking,Statistical Rethinking,Epidemiological statistics and regression,Bayesian workflow,Richard McElreath,self-study,intermediate,self-paced,core,Bayesian regression; hierarchical models; causal models; model checking,R; Stan,Excellent foundation for Bayesian workflow and generative modelling.,https://github.com/rmcelreath/stat_rethinking_2026,2026-07-03
gam-resources,GAM resources,Epidemiological statistics and regression,GAM,Noam Ross / GitHub,self-study,intermediate,self-paced,specialized,GAM; mgcv; nonlinear smooths; seasonality; time-varying effects,R; mgcv,"Useful for modelling seasonality, nonlinear covariate effects, and smooth temporal trends.",https://github.com/noamross/gam-resources,2026-07-03
imperial-infectious-disease-modelling,Infectious Disease Modelling Specialization,Infectious disease modelling and outbreak analytics,ID modelling,Imperial College London / Coursera,online,beginner,self-paced,core,SIR; R implementation; calibration; interventions; stochastic and deterministic models,R,Good entry point for SIR modelling and calibration in R.,https://www.coursera.org/specializations/infectious-disease-modelling,2026-07-03
lshtm-intro-id-modelling,Introduction to Infectious Disease Modelling and its Applications,Infectious disease modelling and outbreak analytics,ID modelling,LSHTM,hybrid,beginner,recurring,recommended,infectious disease modelling; theory; applications; simple models,,Professional short course for foundational infectious disease modelling.,https://www.lshtm.ac.uk/study/courses/short-courses/infectious-disease-modelling,2026-07-03
lshtm-modern-techniques-id-modelling,Modern Techniques in Infectious Disease Modelling,Infectious disease modelling and outbreak analytics,Dynamic transmission models,LSHTM,hybrid,intermediate,recurring,core,ODE; stochastic models; metapopulation; network Reed-Frost; sensitivity analysis,R; deSolve,Practical course for implementing deterministic and stochastic transmission models in R.,https://www.lshtm.ac.uk/study/courses/short-courses/modern-techniques-disease-modelling,2026-07-03
